Signal,n_trades,avg_return,Sharpe,MaxDrawdown
SMA_Trend,44,-0.002632255937901191,-6.317197901240629,-0.11925772005728197
EMA_Trend,49,-0.0033238062697465306,-9.414752855460959,-0.1596793608575895
MACD_Trend,49,-0.0023655706428206747,-5.767055067822308,-0.12612362634621987
ADX_Trend,34,-0.0016115419556483551,-3.708489467908435,-0.0780493793011463
RSI_Trend,4,0.00513623674815028,6.498743325509907,-0.01072386058981245
OBV_Trend,68,-0.0013012070882756845,-3.2342031341682036,-0.09970202180159438
